config_label,num_inflight_agents,iterations,minimal_inflight,actual_agents_per_second,agents_per_second_per_inflight,T
recompute,1,1000,220.0,0.006341476760083875,0.006341476760083875,157691.97583352393
recompute,24,24000,220.0,0.15486444667743665,0.006452685278226527,154974.24047230807
recompute,46,46000,220.0,0.29431304753474086,0.006398109729016105,156296.16282835757
recompute,69,69000,220.0,0.36159982430203874,0.005240577163797663,190818.67678775574
recompute,92,92000,220.0,0.36341308572643893,0.003950142236156945,253155.4410488495
recompute,115,115000,220.0,0.3637858583665876,0.0031633552901442403,316120.03972984105
recompute,137,137000,220.0,0.36418695768204756,0.002658298961182829,376180.41258799686
recompute,160,160000,220.0,0.36361646924006147,0.002272602932750384,440024.0735365789
recompute,183,183000,220.0,0.36286168180581246,0.001982850720250341,504324.40011104156
recompute,206,206000,220.0,0.36362457254603975,0.0017651678278933968,566518.369640483
recompute,228,228000,220.0,0.3634051005541811,0.0015938820199744787,627399.0091286757
recompute,251,251000,220.0,0.36356502246499933,0.0014484662249601567,690385.4454925293
recompute,274,274000,220.0,0.36374504310399364,0.0013275366536642103,753274.8698424578
recompute,296,296000,220.0,0.3634348254526284,0.0012278203562588797,814451.3934000578
recompute,319,319000,220.0,0.36328842042689286,0.0011388351737520153,878090.1951819703
recompute,342,342000,220.0,0.3633715545489114,0.0010624899255816122,941185.3947251264
recompute,365,365000,220.0,0.3637726442413432,0.000996637381483132,1003373.9638702533
recompute,387,387000,220.0,0.36335566700779004,0.000938903532319871,1065072.145941522
recompute,410,410000,220.0,0.3635596584420014,0.0008867308742487839,1127737.884222397
recompute,433,433000,220.0,0.36358522540511856,0.0008396887422751007,1190917.47888693
recompute,455,455000,220.0,0.36368423616209394,0.0007993060135430637,1251085.2953142754
recompute,478,478000,220.0,0.36350413576844204,0.0007604689032812595,1314978.1610861607
recompute,501,501000,220.0,0.3635783066473835,0.000725705202888989,1377970.002170385
recompute,524,524000,220.0,0.3635028315245174,0.000693707693749079,1441529.3487601278
recompute,546,546000,220.0,0.36357908957809515,0.0006658957684580497,1501736.529000031
recompute,569,569000,220.0,0.36344108529889024,0.000638736529523533,1565590.746384824
recompute,592,592000,220.0,0.36360275583029217,0.000614193844307926,1628150.4760549997
recompute,615,615000,220.0,0.3636690840684111,0.0005913318440136766,1691097.833007741
recompute,637,637000,220.0,0.3637593285923723,0.0005710507513224055,1751157.8396215383
recompute,660,660000,220.0,0.36352088658358106,0.0005507892220963349,1815576.5579325308
limited_hbm_and_cmx_waterfall,1,1000,220.0,0.008965471686397459,0.008965471686397459,111539.02828305334
limited_hbm_and_cmx_waterfall,24,24000,220.0,0.21830056486971203,0.009095856869571334,109940.16444402644
limited_hbm_and_cmx_waterfall,46,46000,220.0,0.4177410705099074,0.009081327619780595,110116.05812148422
limited_hbm_and_cmx_waterfall,69,69000,220.0,0.6280545526575321,0.009102239893587421,109863.06795808641
limited_hbm_and_cmx_waterfall,92,92000,220.0,0.8341736047089987,0.009067104399010855,110288.79298104161
limited_hbm_and_cmx_waterfall,115,115000,220.0,1.0422927976259124,0.009063415631529674,110333.68000042005
limited_hbm_and_cmx_waterfall,137,137000,220.0,1.2377995120435314,0.009035032934624317,110680.2827655194
limited_hbm_and_cmx_waterfall,160,160000,220.0,1.4404558929739497,0.009002849331087186,111075.94531732987
limited_hbm_and_cmx_waterfall,183,183000,220.0,1.6173609671378855,0.008838038071791723,113147.28358001646
limited_hbm_and_cmx_waterfall,206,206000,220.0,1.708679085069871,0.008294558665387723,120560.9653679212
limited_hbm_and_cmx_waterfall,228,228000,220.0,1.5454113327428298,0.006778119880451008,147533.53697448343
limited_hbm_and_cmx_waterfall,251,251000,220.0,1.3549352358492643,0.005398148349997069,185248.70662373386
limited_hbm_and_cmx_waterfall,274,274000,220.0,1.2288659001743067,0.004484912044431777,222969.81302934262
limited_hbm_and_cmx_waterfall,296,296000,220.0,1.1462258710290458,0.0038723846994224522,258238.8057026321
