config_label,num_inflight_agents,iterations,minimal_inflight,actual_agents_per_second,agents_per_second_per_inflight,T
recompute,1,1000,220.0,0.00138513875437461,0.00138513875437461,721949.3331204208
recompute,24,24000,220.0,0.03332512041811391,0.0013885466840880796,720177.4426883921
recompute,47,47000,220.0,0.06513778588469013,0.0013859103379721305,721547.3992806808
recompute,70,70000,220.0,0.08786768840414394,0.0012552526914877706,796652.3448077725
recompute,93,93000,220.0,0.09084651654439811,0.0009768442639182594,1023704.6343383947
recompute,117,117000,220.0,0.09099168582945737,0.0007777067164910887,1285831.765105321
recompute,140,140000,220.0,0.09091135216383267,0.0006493668011702333,1539961.6952974582
recompute,163,163000,220.0,0.09095719571276473,0.0005580196055997836,1792051.7307365155
recompute,186,186000,220.0,0.09090513964127662,0.0004887373098993367,2046088.9310987247
recompute,209,209000,220.0,0.09101255761462375,0.0004354667828450897,2296386.405104368
recompute,232,232000,220.0,0.0908848482113311,0.0003917450353936685,2552680.722539572
recompute,255,255000,220.0,0.09090460310111675,0.0003564886396122226,2805138.4781511393
recompute,278,278000,220.0,0.09083066309086966,0.0003267290039239916,3060640.432866604
recompute,301,301000,220.0,0.09102395584378033,0.0003024051689162137,3306821.7834499595
recompute,324,324000,220.0,0.09087100126396534,0.00028046605328384364,3565493.892367634
recompute,348,348000,220.0,0.09098621260356905,0.00026145463391830185,3824755.312282877
recompute,371,371000,220.0,0.0908831241890873,0.0002449679897279981,4082166.005078283
recompute,394,394000,220.0,0.09089530015519791,0.00023069873135837031,4334657.560151847
recompute,417,417000,220.0,0.09094146111841402,0.000218085038653271,4585367.277715367
recompute,440,440000,220.0,0.09091823130675147,0.00020663234387898063,4839513.4141520215
limited_hbm_and_cmx_waterfall,1,1000,220.0,0.0018053082396727329,0.0018053082396727329,553922.027288415
limited_hbm_and_cmx_waterfall,24,24000,220.0,0.04315076345770942,0.0017979484774045592,556189.4640293346
limited_hbm_and_cmx_waterfall,47,47000,220.0,0.08467078701556635,0.0018015061067141777,555091.0964292709
limited_hbm_and_cmx_waterfall,70,70000,220.0,0.12596287501210734,0.001799469643030105,555719.2942227757
limited_hbm_and_cmx_waterfall,93,93000,220.0,0.1674840957222388,0.0018009042550778365,555276.6046170396
limited_hbm_and_cmx_waterfall,117,117000,220.0,0.2104725713428835,0.0017989108661784915,555891.9114899482
limited_hbm_and_cmx_waterfall,140,140000,220.0,0.25173911444675445,0.0017981365317625319,556131.2961145397
limited_hbm_and_cmx_waterfall,163,163000,220.0,0.2919628583819121,0.0017911831802571295,558290.1910995207
limited_hbm_and_cmx_waterfall,186,186000,220.0,0.3285538115973467,0.0017664183419212188,566117.3099642777
limited_hbm_and_cmx_waterfall,209,209000,220.0,0.3539400554301858,0.0016934930881827071,590495.471743025
limited_hbm_and_cmx_waterfall,232,232000,220.0,0.36267077960967137,0.0015632361190072042,639698.6276360414
limited_hbm_and_cmx_waterfall,255,255000,220.0,0.36363121436115453,0.001426004762200606,701259.9301960276
limited_hbm_and_cmx_waterfall,278,278000,220.0,0.363093463888386,0.0013060915967208128,765643.0854548693
limited_hbm_and_cmx_waterfall,301,301000,220.0,0.36354575688932034,0.0012077932122568783,827956.3006745199
limited_hbm_and_cmx_waterfall,324,324000,220.0,0.36363416784747243,0.0011223276785415816,891005.380264219
limited_hbm_and_cmx_waterfall,348,348000,220.0,0.3634542244322858,0.001044408690897373,957479.585066248
limited_hbm_and_cmx_waterfall,371,371000,220.0,0.3632349103168184,0.0009790698391288907,1021377.5974242365
limited_hbm_and_cmx_waterfall,394,394000,220.0,0.3638233668531669,0.0009234095605410328,1082943.0869376014
limited_hbm_and_cmx_waterfall,417,417000,220.0,0.36348161232260645,0.0008716585427400635,1147238.225712209
limited_hbm_and_cmx_waterfall,440,440000,220.0,0.3635334365583908,0.0008262123558145245,1210342.5868209708
inifinite_storage,1,1000,220.0,0.0017877101312760606,0.0017877101312760606,559374.801599521
inifinite_storage,24,24000,220.0,0.043202973655733286,0.0018001239023222202,555517.3167302354
inifinite_storage,47,47000,220.0,0.08458345916091106,0.0017996480672534268,555664.198015211
inifinite_storage,70,70000,220.0,0.1260940763279303,0.0018013439475418613,555141.0664046773
inifinite_storage,93,93000,220.0,0.16708736660298903,0.0017966383505697745,556595.0430051024
inifinite_storage,117,117000,220.0,0.21059407929049695,0.0017999493956452732,555571.1746226648
inifinite_storage,140,140000,220.0,0.2520405983074779,0.0018002899879105564,555466.0675309398
inifinite_storage,163,163000,220.0,0.2917353471274978,0.0017897874056901706,558725.5764683314
inifinite_storage,186,186000,220.0,0.3281646931486149,0.0017643263072506178,566788.5786718889
inifinite_storage,209,209000,220.0,0.35347942317591813,0.0016912891061048715,591264.9684731034
inifinite_storage,232,232000,220.0,0.3626735210993883,0.0015632479357732252,639693.7920825544
inifinite_storage,255,255000,220.0,0.3634253424904151,0.0014251974215310395,701657.1773794926
inifinite_storage,278,278000,220.0,0.3631873711638351,0.0013064293926756659,765445.1175137179
inifinite_storage,301,301000,220.0,0.36354578155881223,0.001207793294215323,827956.2444910561
inifinite_storage,324,324000,220.0,0.36349177988224074,0.0011218882095130887,891354.4072577521
inifinite_storage,348,348000,220.0,0.36343397155099344,0.0010443504929626248,957532.9419945877
inifinite_storage,371,371000,220.0,0.36385237768897716,0.000980734171668402,1019644.2918867845
inifinite_storage,394,394000,220.0,0.3632251382368355,0.0009218912137990749,1084726.6847018122
inifinite_storage,417,417000,220.0,0.36318154321475943,0.00087093895255338,1148186.1008377736
